pair_id,scenario,seed,turn,public_equal,own_state_equal,legal_actions_equal,reachable,hidden_commitment_only_difference,n_candidates_shared,q_ranking_confident,shared_action_regret,normalized_regret,normalized_regret_damage_diff,argmax_differs,control_a_max_diff,control
IBS-S-01_s4_t4_IBS-U-IJN-HATSUYUKI_4S2P-0_ctlB,IBS-S-01,4,4,True,True,True,True,True,3,False,0.1333333333333333,0.6666666666666666,0.0,True,0.0,B_distant_ship
IBS-S-01_s5_t2_IBS-U-IJN-KINUGASA_1SS3P-0_ctlB,IBS-S-01,5,2,True,True,True,True,True,4,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-01_s5_t3_IBS-U-IJN-KINUGASA_2P3-0_ctlB,IBS-S-01,5,3,True,True,True,True,True,3,False,0.1333333333333333,0.4999999999999998,0.0,True,0.0,B_distant_ship
IBS-S-01_s6_t3_IBS-U-IJN-KINUGASA_0-1P1P3P_ctlB,IBS-S-01,6,3,True,True,True,True,True,4,False,0.0,0.0,0.27272727272727393,False,0.0,B_distant_ship
IBS-S-01_s6_t4_IBS-U-IJN-FURUTAKA_2P2P-0_ctlB,IBS-S-01,6,4,True,True,True,True,True,3,False,0.0,0.0,0.15624999999999997,False,0.0,B_distant_ship
IBS-S-01_s7_t2_IBS-U-IJN-KINUGASA_4S1-0_ctlB,IBS-S-01,7,2,True,True,True,True,True,4,True,0.0,0.0,0.0,True,0.0,B_distant_ship
IBS-S-01_s7_t3_IBS-U-IJN-FURUTAKA_2S1S-0_ctlB,IBS-S-01,7,3,True,True,True,True,True,4,False,0.0,0.0,0.22950819672131137,False,0.0,B_distant_ship
IBS-S-01_s7_t4_IBS-U-IJN-KINUGASA_1PP3S-0_ctlB,IBS-S-01,7,4,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-01_s8_t2_IBS-U-IJN-KINUGASA_1PP2P1S-0_ctlB,IBS-S-01,8,2,True,True,True,True,True,4,True,0.06666666666666665,0.1428571428571428,0.3896103896103895,True,0.0,B_distant_ship
IBS-S-01_s8_t3_IBS-U-IJN-KINUGASA_2P3-0_ctlB,IBS-S-01,8,3,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-01_s8_t4_IBS-U-IJN-ASAGUMO_1S-0_ctlB,IBS-S-01,8,4,True,True,True,True,True,6,False,0.0,0.0,0.05063291139240504,True,0.0,B_distant_ship
IBS-S-01_s9_t2_IBS-U-IJN-KINUGASA_1P3-0_ctlB,IBS-S-01,9,2,True,True,True,True,True,4,False,0.06666666666666676,0.25000000000000033,0.0,True,0.0,B_distant_ship
IBS-S-01_s9_t3_IBS-U-IJN-KINUGASA_1P2S-0_ctlB,IBS-S-01,9,3,True,True,True,True,True,6,False,0.0,0.0,0.11111111111111013,False,0.0,B_distant_ship
